,PTS,AST,REB,STL,BLK,FG3M
PTS,1.0,0.7667038270406563,0.6162034116622881,0.6469871077300043,0.34125168245208265,0.718910998255917
AST,0.7667038270406563,1.0,0.4041529201700133,0.6572494953321572,0.1291415527807199,0.5653853836594943
REB,0.6162034116622881,0.4041529201700133,1.0,0.4462502359293528,0.6822619616031774,0.14778566175713012
STL,0.6469871077300043,0.6572494953321572,0.4462502359293528,1.0,0.28010397671714626,0.5010382968747189
BLK,0.34125168245208265,0.1291415527807199,0.6822619616031774,0.28010397671714626,1.0,0.0028104722977252195
FG3M,0.718910998255917,0.5653853836594943,0.14778566175713012,0.5010382968747189,0.0028104722977252195,1.0
